Microsoft Commercial Support Subcontractors ,,
Last update: 23 August 2019 ,,
The Commercial Support Organization (“Commercial Support”) within Microsoft Corporation and its affiliates operates the,,
"Microsoft Services Support offerings, including Premier support and Microsoft Unified support. Commercial Support uses ",,
subcontractors for certain limited functions.,,
1. Outsourcers to provide contact/call centers services ,,
"When these outsourcers store data in their systems,",they are subject to equivalent levels of protection and certification as,
Microsoft facilities and systems. Their operations are regularly reviewed by Microsoft: ,,
CANADA ,BLUEPRINT CONSULTING SERVICES ,N3 LLC 
,SHAREWEB INC ,TEK EXPERTS GLOBAL LTD 
CHINA ,NEUSOFT ,TEKSYSTEMS 
GERMANY ,ARVATO DIGITAL SERVICES LLC ,TELEPERFORMANCE 
INDIA ,MINDTREE CONSULTING PVT LTD ,VALOREM CONSULTING LLC 
,WIPRO LIMITED ,VMC CONSULTING CORPORATION 
JAPAN ,RELIA ,ZONES INC 
,TRANSCOSMOS ,
SWITZERLAND ,ADECCO STAFFING & OUTSOURCING SDN,
,BHD ,
TAIWAN ,MANPOWERGROUP ,
UNITED STATES ,APEX SYSTEMS INC ,
,ALLEGIS GLOBAL SOLUTIONS ,
,CONCENTRIX CORPORATION ,
,CONVERGYS ,
,EXPERIS (MANPOWER GROUP) ,
"In addition, Commercial Support utilizes services from AT&T (United States) and NEXIDIA INC (United States) in support",,
of contact/call centers services. ,,
2. Subsidiary Affiliates ,,
Microsoft has subsidiaries that may provide services to Commercial Support in these countries: ,,
MICROSOFT AB (SWEDEN) ,MICROSOFT DOOEL SKOPJE (MACEDONIA) ,
MICROSOFT ALGÉRIE (ALGERIA) ,MICROSOFT ECUADOR ,
MICROSOFT AZERBAIJAN ,MICROSOFT EESTI (ESTONIA) ,
MICROSOFT BANGLADESH LIMITED (BANGLADESH) ,MICROSOFT EGYPT ,
MICROSOFT BELGIË (BELGIUM) ,MICROSOFT EL SALVADOR SA (EL SALVADOR) ,
MICROSOFT BILGISAYAR YAZILIM (TURKEY) ,MICROSOFT FRANCE ,
MICROSOFT BOLIVIA ,MICROSOFT GULF FZ LLC (UNITED ARAB EMIRATES) ,
MICROSOFT BRUNEI DARUSSALAM (BRUNEI) ,MICROSOFT HONDURAS ,
MICROSOFT CANADA INC ,MICROSOFT HONG KONG LIMITED ,
MICROSOFT CASABLANCA (MOROCCO) ,MICROSOFT HRVATSKA DOO (CROATIA) ,
MICROSOFT CHILE SA ,MICROSOFT IBÉRICA (SPAIN) ,
MICROSOFT COLOMBIA ,MICROSOFT INDIAN OCEAN ISLANDS (MAURITIUS) ,
MICROSOFT CORPORATION (I) PVT LTD (INDIA) ,MICROSOFT INDONESIA ,
MICROSOFT COSTA RICA ,MICROSOFT INFORMATICA LTDA (BRAZIL) ,
MICROSOFT CRNA GORA (MONTENEGRO) ,MICROSOFT IRELAND ,
MICROSOFT CYPRUS ,MICROSOFT ITALIA (ITALY) ,
MICROSOFT DANMARK APS (DENMARK) ,MICROSOFT IVORY COAST (CÔTE D'IVOIRE) ,
MICROSOFT DE ARGENTINA SA (ARGENTINA) ,MICROSOFT JORDAN PSC (JORDAN) ,
MICROSOFT DE GUATEMALA SA (GUATEMALA) ,MICROSOFT KENYA ,
MICROSOFT DE URUGUAY SA ,MICROSOFT LATVIA SIA ,
MICROSOFT DEUTSCHLAND GMBH (GERMANY) ,MICROSOFT LEBANON SARL ,
MICROSOFT DOMINICANA SRL (DOMINICAN REPUBLIC) ,MICROSOFT LIETUVA (LITHUANIA) ,
"MICROSOFT DOO LJUBLJANA (SLOVENIA, REPUBLIC OF) ",MICROSOFT LIMITED (UNITED KINGDOM) ,
©2019 Microsoft Corporation. All rights reserved. ,,1
Microsoft Commercial Support Subcontractors ,,,
MICROSOFT LUXEMBOURG ,MICROSOFT SLOVAKIA SRO ,,
MICROSOFT MAGYARORSZÁG KFT (HUNGARY) ,,MICROSOFT SOFTWARE DOO (SERBIA) ,
MICROSOFT MALAYSIA (MALAYSIA) ,MICROSOFT SOUTH AFRICA ,,
MICROSOFT MALTA (MALTA) ,,MICROSOFT SP Z OO (POLAND) ,
MICROSOFT MOLDOVA ,,MICROSOFT SRI LANKA (PVT) LTD (SRI LANKA) ,
MICROSOFT NEDERLAND (NETHERLANDS) ,,MICROSOFT SRO (CZECH REPUBLIC) ,
MICROSOFT NEW ZEALAND ,,MICROSOFT TRINIDAD AND TOBAGO ,
MICROSOFT NIGERIA ,MICROSOFT TUNISIA ,,
MICROSOFT NORGE AS (NORWAY) ,MICROSOFT UNITED STATES ,,
MICROSOFT ÖSTERREICH GMBH (AUSTRIA) ,MICROSOFT VENEZUELA ,,
MICROSOFT OY (SUOMI) (FINLAND) ,,MICROSOFT VIỆT NAM (VIETNAM) ,
MICROSOFT PAKISTAN ,,MICROSOFT ΕΛΛΑΣ AE (GREECE) ,
MICROSOFT PANAMA ,,MICROSOFT БЪЛГАРИЯ (BULGARIA) ,
MICROSOFT PERU SRL ,,MICROSOFT РОССИЯ (RUSSIA) ,
MICROSOFT PHILIPPINES INC ,,MICROSOFT УКРАЇНА (UKRAINE) ,
MICROSOFT PORTUGAL ,,"MICROSOFT מ""עב לארשי (ISRAEL) ",
MICROSOFT PTY LIMITED (AUSTRALIA) ,MICROSOFT ايبيل (LIBYA) ,,
MICROSOFT PUERTO RICO SA ,,MICROSOFT บริษัท ไมโครซอฟท์ (ประเทศไทย) จ ำกัด (THAILAND) ,
MICROSOFT ROMANIA ,,MICROSOFT 마이크로소프트사 (KOREA) ,
MICROSOFT S DE RL DE CV (MEXICO) ,,MICROSOFT 台灣微軟公司 (TAIWAN) ,
MICROSOFT SAUDI ARABIA ,,,
,,MICROSOFT 微软（中国）有限公司 (CHINA) ,
MICROSOFT SCHWEIZ (SWITZERLAND) ,,,
MICROSOFT SINGAPORE OPERATIONS PTE LTD ,,MICROSOFT 日本マイクロソフト株式会社 (JAPAN),
3. Contract Staff ,,,
"Sometimes referred to as staff augmentation or external staff,",,Contract Staff work alongside Microsoft employees to help,
"deliver certain support services. In such cases, the systems used to store and process data are Microsoft’s, ",,,
AUSTRALIA ,DATA GLOVE IT SOLUTIONS PTY LTD ,,LM IT SERVICES AG 
,KHAMX PTY LTD ,,ORANGE NETWORKS GMBH 
,RHIPE SOLUTIONS ,,TRANS4MATION IT GMBH 
,TALENT INTERNATIONAL (UK) LIMITED ,HOLLAND ,MAVENTION B.V. 
,WARDY IT SOLUTIONS PTY LTD ,HUNGARY ,PROHUMAN 2004 KFT. 
BRAZIL ,NEW CONTENT EDITORA E PRODUTORA ,INDIA ,AFFLUENT GLOBAL SERVICES PRIVATE LIMITED 
,PSM.COM PROFESSIONAL SERVICES ,,
,,,ATHIYA ORGANIZATIONAL COMPETENCIES (P)
,SMARTSYSTEM CONSULTING CONSULTORIA ,,LIMITED 
CHINA ,MANPOWER CHINA GROUP (CHINA) HUMAN,,CYBAGE SOFTWARE PVT LTD 
,RESOURCE CO. LTD. ,,
,,,HANU SOFTWARE SOLUTIONS INC 
,NEUSOFT ,,
,,,INFOSYS LIMITED 
